iter	Passed	Remaining
0	1	129
1	2	115
2	4	149
3	6	166
4	8	152
5	8	139
6	9	129
7	10	122
8	11	117
9	12	111
10	13	106
11	14	102
12	15	100
13	15	97
14	16	94
15	17	91
16	18	89
17	19	87
18	19	85
19	20	82
20	21	80
21	22	79
22	23	77
23	23	75
24	24	74
25	25	72
26	26	71
27	27	70
28	28	68
29	29	68
30	32	72
31	33	71
32	34	70
33	35	69
34	36	67
35	37	66
36	38	65
37	39	63
38	39	62
39	40	61
40	41	59
41	41	57
42	42	56
43	43	55
44	45	55
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	49	48
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	56	37
60	57	36
61	59	36
62	60	35
63	61	34
64	61	33
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	67	26
72	67	25
73	68	24
74	69	23
75	69	22
76	70	21
77	71	20
78	71	19
79	72	18
80	73	17
81	73	16
82	74	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	87	1
98	88	0
99	89	0
