iter	Passed	Remaining
0	30	30562
1	32	16245
2	33	11269
3	35	8746
4	36	7360
5	43	7234
6	45	6389
7	46	5734
8	47	5218
9	48	4803
10	49	4458
11	50	4187
12	51	3939
13	53	3777
14	56	3730
15	57	3549
16	58	3389
17	59	3246
18	60	3117
19	61	3020
20	62	2918
21	63	2826
22	64	2742
23	65	2683
24	67	2628
25	70	2645
26	72	2602
27	73	2540
28	74	2483
29	75	2430
30	76	2381
31	77	2340
32	78	2295
33	80	2272
34	81	2233
35	81	2194
36	82	2155
37	87	2217
38	89	2199
39	90	2172
40	92	2154
41	93	2129
42	94	2099
43	95	2069
44	96	2040
45	97	2014
46	98	1997
47	100	1998
48	102	1985
49	103	1971
50	105	1968
51	107	1956
52	108	1939
53	109	1923
54	110	1904
55	115	1948
56	116	1931
57	117	1914
58	118	1896
59	120	1882
60	121	1864
61	121	1845
62	122	1827
63	123	1812
64	126	1813
65	127	1804
66	131	1828
67	132	1818
68	133	1803
69	134	1788
70	135	1775
71	136	1763
72	137	1751
73	138	1738
74	139	1725
75	140	1712
76	141	1700
77	146	1732
78	147	1721
79	148	1711
80	149	1699
81	150	1688
82	151	1671
83	152	1661
84	153	1650
85	154	1640
86	155	1630
87	156	1621
88	157	1611
89	159	1612
90	162	1620
91	163	1612
92	164	1604
93	165	1597
94	166	1590
95	168	1582
96	168	1572
97	169	1563
98	171	1563
99	174	1569
100	176	1567
101	177	1563
102	179	1563
103	180	1557
104	182	1554
105	183	1548
106	184	1541
107	186	1539
108	190	1554
109	191	1547
110	192	1539
111	193	1532
112	194	1526
113	195	1519
114	196	1513
115	197	1506
116	198	1497
117	199	1490
118	200	1484
119	204	1497
120	206	1497
121	207	1489
122	208	1483
123	209	1477
124	210	1470
125	211	1464
126	211	1456
127	212	1450
128	213	1444
129	215	1439
130	216	1433
131	221	1455
132	222	1452
133	224	1447
134	225	1444
135	226	1440
136	228	1437
137	229	1434
138	231	1431
139	236	1455
140	238	1453
141	239	1445
142	240	1441
143	241	1437
144	243	1436
145	245	1433
146	247	1436
147	251	1446
148	252	1444
149	254	1440
150	255	1436
151	256	1432
152	258	1429
153	259	1425
154	260	1422
155	263	1425
156	265	1426
157	267	1423
158	270	1431
159	271	1427
160	272	1420
161	274	1418
162	275	1414
163	277	1412
164	280	1418
165	281	1415
166	283	1411
167	284	1408
168	285	1404
169	286	1401
170	288	1399
171	289	1395
172	291	1392
173	296	1409
174	298	1409
175	300	1406
176	301	1402
177	302	1398
178	305	1402
179	307	1400
180	313	1417
181	314	1413
182	315	1409
183	318	1413
184	319	1409
185	321	1405
186	322	1400
187	323	1397
188	324	1394
189	326	1391
190	327	1389
191	329	1386
192	331	1384
193	332	1381
194	333	1377
195	334	1373
196	339	1382
197	340	1379
198	342	1377
199	343	1373
200	344	1370
201	346	1367
202	347	1364
203	348	1360
204	350	1359
205	355	1371
206	357	1368
207	358	1364
208	361	1366
209	362	1363
210	363	1360
211	365	1357
212	366	1353
213	368	1352
214	370	1352
215	371	1349
216	372	1345
217	373	1341
218	375	1337
219	376	1333
220	377	1329
221	381	1337
222	382	1334
223	384	1330
224	385	1327
225	386	1323
226	387	1319
227	388	1315
228	389	1311
229	390	1307
230	391	1303
231	392	1300
232	398	1312
233	400	1309
234	401	1306
235	402	1303
236	403	1299
237	404	1295
238	405	1291
239	406	1288
240	407	1284
241	410	1286
242	412	1285
243	413	1282
244	414	1278
245	416	1275
246	417	1271
247	418	1267
248	419	1264
249	420	1260
250	421	1258
251	423	1255
252	428	1264
253	429	1261
254	430	1259
255	432	1256
256	434	1256
257	435	1253
258	436	1249
259	437	1245
260	438	1241
261	440	1241
262	443	1242
263	445	1240
264	446	1238
265	447	1236
266	449	1232
267	449	1228
268	450	1225
269	451	1221
270	452	1217
271	453	1214
272	457	1218
273	458	1215
274	459	1211
275	460	1208
276	461	1204
277	462	1200
278	463	1197
279	464	1193
280	465	1190
281	466	1187
282	467	1183
283	468	1180
284	469	1177
285	474	1183
286	475	1180
287	476	1177
288	477	1173
289	478	1170
290	478	1166
291	479	1163
292	480	1160
293	481	1157
294	484	1158
295	490	1166
296	492	1164
297	493	1162
298	495	1160
299	496	1157
300	497	1155
301	508	1175
302	511	1177
303	514	1177
304	516	1176
305	522	1184
306	523	1182
307	525	1180
308	526	1178
309	528	1176
310	530	1174
311	531	1172
312	537	1179
313	538	1176
314	539	1174
315	541	1171
316	544	1173
317	545	1170
318	546	1166
319	547	1163
320	553	1170
321	554	1167
322	555	1164
323	556	1161
324	557	1158
325	558	1154
326	559	1151
327	560	1148
328	561	1145
329	562	1142
330	564	1140
331	569	1145
332	570	1142
333	571	1139
334	572	1136
335	573	1133
336	574	1129
337	575	1126
338	576	1123
339	581	1128
340	582	1125
341	584	1123
342	584	1120
343	586	1118
344	587	1116
345	589	1113
346	590	1111
347	591	1107
348	592	1104
349	593	1102
350	594	1099
351	595	1096
352	596	1093
353	597	1090
354	598	1088
355	599	1085
356	601	1082
357	601	1079
358	602	1076
359	603	1073
360	608	1076
361	609	1074
362	610	1072
363	612	1069
364	613	1068
365	615	1065
366	616	1063
367	617	1060
368	618	1058
369	627	1068
370	629	1067
371	631	1065
372	632	1063
373	633	1061
374	634	1058
375	637	1058
376	640	1058
377	641	1055
378	642	1052
379	643	1049
380	643	1046
381	644	1043
382	645	1040
383	646	1037
384	647	1034
385	648	1031
386	649	1029
387	650	1026
388	656	1030
389	657	1028
390	658	1025
391	659	1022
392	660	1019
393	661	1017
394	662	1014
395	663	1012
396	665	1010
397	666	1008
398	670	1010
399	672	1008
400	673	1005
401	674	1002
402	675	1000
403	676	997
404	677	995
405	678	992
406	679	989
407	680	987
408	681	984
409	684	984
410	685	982
411	686	980
412	687	977
413	688	974
414	689	971
415	690	969
416	691	966
417	692	963
418	692	960
419	693	958
420	694	955
421	696	953
422	700	955
423	701	953
424	702	950
425	703	947
426	704	945
427	705	942
428	755	1005
429	756	1002
430	758	1001
431	759	999
432	761	996
433	767	1000
434	768	998
435	770	996
436	772	995
437	773	993
438	775	990
439	776	988
440	777	985
441	783	988
442	785	987
443	786	984
444	787	981
445	788	979
446	789	977
447	791	975
448	793	973
449	802	980
450	804	979
451	806	977
452	807	974
453	808	971
454	809	969
455	813	970
456	814	967
457	815	965
458	816	962
459	817	960
460	819	957
461	820	955
462	821	952
463	822	949
464	823	947
465	824	944
466	826	943
467	828	942
468	829	939
469	830	936
470	831	934
471	832	931
472	833	929
473	834	926
474	835	923
475	837	921
476	838	918
477	838	916
478	839	913
479	843	913
480	844	911
481	846	909
482	847	907
483	849	906
484	850	903
485	851	900
486	852	898
487	855	897
488	858	896
489	859	894
490	860	891
491	860	888
492	862	886
493	863	884
494	863	881
495	864	878
496	865	876
497	866	873
498	867	870
499	868	868
500	873	869
501	874	867
502	875	865
503	876	862
504	877	860
505	878	858
506	879	855
507	881	853
508	882	851
509	883	848
510	884	846
511	889	847
512	890	845
513	891	842
514	893	841
515	894	838
516	895	836
517	896	834
518	897	831
519	898	829
520	903	830
521	905	828
522	906	826
523	907	824
524	908	821
525	909	819
526	910	817
527	911	815
528	913	812
529	914	810
530	915	808
531	927	816
532	929	814
533	930	812
534	934	812
535	936	810
536	937	808
537	939	806
538	940	804
539	941	802
540	943	800
541	944	798
542	945	796
543	951	797
544	952	795
545	953	793
546	956	792
547	957	790
548	959	787
549	960	785
550	1003	817
551	1004	815
552	1006	813
553	1008	811
554	1009	809
555	1011	807
556	1013	806
557	1016	805
558	1017	802
559	1019	800
560	1020	798
561	1021	795
562	1022	793
563	1023	791
564	1025	789
565	1026	786
566	1030	787
567	1032	785
568	1033	782
569	1034	780
570	1036	778
571	1038	777
572	1040	775
573	1041	772
574	1043	771
575	1046	770
576	1047	768
577	1049	766
578	1050	763
579	1052	762
580	1053	759
581	1054	757
582	1055	754
583	1056	752
584	1057	749
585	1057	747
586	1059	745
587	1060	743
588	1061	740
589	1062	738
590	1063	735
591	1064	733
592	1064	730
593	1065	728
594	1066	726
595	1068	723
596	1069	721
597	1070	719
598	1071	717
599	1073	715
600	1074	713
601	1075	711
602	1076	708
603	1077	706
604	1078	704
605	1079	701
606	1080	699
607	1081	697
608	1082	695
609	1083	692
610	1088	693
611	1090	691
612	1091	689
613	1092	687
614	1093	684
615	1094	682
616	1095	680
617	1096	677
618	1097	675
619	1102	675
620	1103	673
621	1104	671
622	1105	669
623	1106	666
624	1107	664
625	1108	662
626	1109	660
627	1110	657
628	1111	655
629	1112	653
630	1113	651
631	1118	651
632	1119	649
633	1120	647
634	1123	645
635	1124	643
636	1125	641
637	1126	639
638	1127	637
639	1128	634
640	1133	635
641	1135	633
642	1136	631
643	1138	629
644	1139	627
645	1140	625
646	1141	622
647	1142	620
648	1143	618
649	1144	616
650	1145	614
651	1148	613
652	1149	610
653	1150	608
654	1151	606
655	1152	604
656	1153	602
657	1154	599
658	1154	597
659	1155	595
660	1156	593
661	1158	591
662	1158	589
663	1160	587
664	1165	586
665	1166	584
666	1167	582
667	1168	580
668	1169	578
669	1169	576
670	1170	574
671	1171	571
672	1172	569
673	1173	567
674	1174	565
675	1175	563
676	1180	563
677	1181	561
678	1182	559
679	1183	556
680	1184	554
681	1185	552
682	1186	550
683	1187	548
684	1188	546
685	1189	544
686	1190	542
687	1194	541
688	1195	539
689	1196	537
690	1198	535
691	1199	533
692	1200	531
693	1201	529
694	1202	527
695	1203	525
696	1205	523
697	1206	521
698	1210	521
699	1211	519
700	1213	517
701	1214	515
702	1215	513
703	1217	511
704	1218	509
705	1230	512
706	1231	510
707	1233	508
708	1234	506
709	1236	504
710	1237	502
711	1238	500
712	1240	499
713	1242	497
714	1243	495
715	1244	493
716	1246	491
717	1247	489
718	1249	488
719	1251	486
720	1256	486
721	1258	484
722	1259	482
723	1260	480
724	1262	478
725	1263	476
726	1264	474
727	1266	473
728	1271	472
729	1272	470
730	1273	468
731	1274	466
732	1275	464
733	1276	462
734	1277	460
735	1279	458
736	1280	456
737	1281	454
738	1282	452
739	1286	452
740	1287	450
741	1288	448
742	1289	445
743	1290	444
744	1291	442
745	1292	440
746	1293	438
747	1295	436
748	1295	434
749	1296	432
750	1297	430
751	1302	429
752	1303	427
753	1304	425
754	1305	423
755	1306	421
756	1307	419
757	1308	417
758	1309	415
759	1310	413
760	1311	411
761	1312	409
762	1313	408
763	1318	407
764	1319	405
765	1321	403
766	1322	401
767	1324	400
768	1325	398
769	1326	396
770	1327	394
771	1333	393
772	1334	391
773	1335	389
774	1336	387
775	1337	385
776	1338	384
777	1339	382
778	1340	380
779	1341	378
780	1342	376
781	1343	374
782	1347	373
783	1349	371
784	1350	369
785	1351	367
786	1352	365
787	1353	364
788	1354	362
789	1355	360
790	1356	358
791	1357	356
792	1358	354
793	1359	352
794	1364	351
795	1365	350
796	1366	348
797	1367	346
798	1369	344
799	1370	342
800	1370	340
801	1371	338
802	1372	336
803	1373	334
804	1374	332
805	1377	331
806	1379	329
807	1380	328
808	1381	326
809	1382	324
810	1383	322
811	1384	320
812	1385	318
813	1386	316
814	1387	314
815	1388	313
816	1389	311
817	1390	309
818	1395	308
819	1396	306
820	1397	304
821	1399	302
822	1400	301
823	1401	299
824	1402	297
825	1403	295
826	1404	293
827	1405	291
828	1412	291
829	1413	289
830	1415	287
831	1416	286
832	1417	284
833	1419	282
834	1420	280
835	1420	278
836	1423	277
837	1426	275
838	1427	273
839	1427	271
840	1428	270
841	1429	268
842	1430	266
843	1431	264
844	1432	262
845	1434	261
846	1435	259
847	1436	257
848	1441	256
849	1442	254
850	1443	252
851	1444	250
852	1444	249
853	1445	247
854	1446	245
855	1447	243
856	1448	241
857	1449	239
858	1450	238
859	1458	237
860	1459	235
861	1460	233
862	1461	231
863	1462	230
864	1463	228
865	1464	226
866	1465	224
867	1469	223
868	1470	221
869	1471	219
870	1472	218
871	1474	216
872	1475	214
873	1476	212
874	1477	211
875	1480	209
876	1483	208
877	1484	206
878	1485	204
879	1486	202
880	1488	201
881	1489	199
882	1490	197
883	1490	195
884	1492	193
885	1492	192
886	1493	190
887	1494	188
888	1497	187
889	1500	185
890	1501	183
891	1502	181
892	1503	180
893	1505	178
894	1506	176
895	1507	174
896	1508	173
897	1510	171
898	1513	170
899	1515	168
900	1517	166
901	1518	164
902	1519	163
903	1520	161
904	1521	159
905	1525	158
906	1526	156
907	1527	154
908	1528	153
909	1529	151
910	1530	149
911	1531	147
912	1532	146
913	1533	144
914	1533	142
915	1534	140
916	1535	139
917	1536	137
918	1541	135
919	1542	134
920	1547	132
921	1548	130
922	1549	129
923	1550	127
924	1551	125
925	1552	124
926	1555	122
927	1558	120
928	1559	119
929	1560	117
930	1561	115
931	1562	113
932	1563	112
933	1564	110
934	1565	108
935	1566	107
936	1567	105
937	1568	103
938	1572	102
939	1573	100
940	1574	98
941	1575	97
942	1577	95
943	1578	93
944	1579	91
945	1580	90
946	1582	88
947	1583	86
948	1584	85
949	1587	83
950	1588	81
951	1590	80
952	1592	78
953	1593	76
954	1595	75
955	1596	73
956	1612	72
957	1613	70
958	1617	69
959	1618	67
960	1620	65
961	1621	64
962	1622	62
963	1623	60
964	1625	58
965	1626	57
966	1627	55
967	1628	53
968	1633	52
969	1634	50
970	1636	48
971	1637	47
972	1638	45
973	1639	43
974	1641	42
975	1642	40
976	1651	38
977	1652	37
978	1653	35
979	1655	33
980	1656	32
981	1657	30
982	1659	28
983	1660	27
984	1664	25
985	1665	23
986	1667	21
987	1668	20
988	1669	18
989	1671	16
990	1673	15
991	1675	13
992	1681	11
993	1682	10
994	1684	8
995	1685	6
996	1688	5
997	1689	3
998	1691	1
999	1704	0
